,Word,Count,Weight,Weight_Abs
3244,obgyn,182,-2.0270620455539983,2.0270620455539983
932,tenderness,1288,-2.017405622890549,2.017405622890549
4128,afib,119,2.012327555794589,2.012327555794589
4391,climara,106,-2.009670302842129,2.009670302842129
8058,coil,32,-2.009670302842129,2.009670302842129
11156,snort,16,2.0052100880257253,2.0052100880257253
1158,femara,919,-1.996425076092108,1.996425076092108
7432,masturbation,37,1.9956406370095747,1.9956406370095747
8932,gay,26,1.9845908008229896,1.9845908008229896
6591,iodine,47,-1.9830020557599666,1.9830020557599666
4866,gynecologist,86,-1.9830020557599666,1.9830020557599666
9366,cyp,23,1.9643880935054705,1.9643880935054705
9865,amenorrhea,21,-1.9556030815718528,1.9556030815718528
4780,sizes,89,-1.9556030815718528,1.9556030815718528
11419,conception,15,-1.9556030815718528,1.9556030815718528
6118,bioidentical,55,-1.9556030815718528,1.9556030815718528
10803,luteal,17,-1.9556030815718528,1.9556030815718528
7124,dissapointed,40,-1.9556030815718528,1.9556030815718528
6768,gastroparesis,45,-1.9556030815718528,1.9556030815718528
744,yeast,1754,-1.9549492731144336,1.9549492731144336
6055,alprazolam,56,1.946369588002792,1.946369588002792
11669,obtaining,15,1.946369588002792,1.946369588002792
7497,indocin,37,1.946369588002792,1.946369588002792
8454,qd,29,1.946369588002792,1.946369588002792
11335,castrated,15,1.946369588002792,1.946369588002792
11371,degradation,15,1.946369588002792,1.946369588002792
5035,vytorin,81,1.946369588002792,1.946369588002792
6037,purging,57,-1.9369109485597005,1.9369109485597005
5155,bitchy,77,-1.9274322046051564,1.9274322046051564
7970,fitting,33,-1.9274322046051564,1.9274322046051564
11551,eyelash,15,-1.9274322046051564,1.9274322046051564
10474,masturbate,18,1.9155979293360383,1.9155979293360383
9803,guitar,21,1.9155979293360383,1.9155979293360383
875,boniva,1388,-1.915111720217116,1.915111720217116
839,discharge,1477,-1.9090193168533316,1.9090193168533316
4314,jags,110,-1.908200842677269,1.908200842677269
6261,booze,52,1.9066292593532777,1.9066292593532777
10880,bikini,17,-1.898444667731904,1.898444667731904
