,Word,Count,Weight,Weight_Abs
170,sex,10295,-0.010989108977986075,0.010989108977986075
2252,drip,337,-0.011004408114350144,0.011004408114350144
9326,boo,23,0.011061346795107235,0.011061346795107235
2702,correctly,256,-0.011080857791387498,0.011080857791387498
4822,starter,88,0.011097837152534241,0.011097837152534241
2080,lifestyle,382,-0.011264024748580685,0.011264024748580685
1105,easier,997,-0.011331605558359598,0.011331605558359598
4150,bugs,118,-0.011375018699524298,0.011375018699524298
8001,ab,32,-0.01152856837141945,0.01152856837141945
4415,heartrate,105,0.011605065162394963,0.011605065162394963
4324,hostility,109,0.011605065162394963,0.011605065162394963
4251,un,113,-0.011657549749342815,0.011657549749342815
1532,frequently,595,0.011682901317327996,0.011682901317327996
728,arm,1796,-0.011708168376503306,0.011708168376503306
244,found,7301,0.011711364741282869,0.011711364741282869
4622,includes,96,-0.011827405045172077,0.011827405045172077
1801,pulled,466,-0.011948742180551206,0.011948742180551206
1021,increasing,1135,0.01201240468551495,0.01201240468551495
2045,complain,394,0.012175054120041327,0.012175054120041327
108,what,17271,0.012377899811728583,0.012377899811728583
4378,opted,107,0.01243562999419417,0.01243562999419417
8992,te,25,-0.012564011648951429,0.012564011648951429
3821,reacted,138,-0.012612642619874154,0.012612642619874154
5683,friendly,64,-0.012612642619874154,0.012612642619874154
8099,occurance,31,-0.012612642619874154,0.012612642619874154
2836,men,233,-0.012640398372949668,0.012640398372949668
673,ears,2022,0.012701089141077353,0.012701089141077353
1015,sensitivity,1144,0.012714239733406765,0.012714239733406765
2938,center,218,0.0127799233355192,0.0127799233355192
4026,negatively,126,0.0127799233355192,0.0127799233355192
3057,sometime,203,0.012888872686749738,0.012888872686749738
2554,suck,280,-0.012889325197554109,0.012889325197554109
7032,sle,42,0.01292562159468281,0.01292562159468281
992,nasty,1190,0.012975867296173579,0.012975867296173579
317,old,5075,-0.013070629438569398,0.013070629438569398
3943,vanished,131,0.013087095815280456,0.013087095815280456
667,easily,2039,0.013125567711564944,0.013125567711564944
10691,os,18,-0.01312849184668523,0.01312849184668523
1168,heartbeat,903,-0.013133883184190582,0.013133883184190582
2373,explained,313,-0.013198912203413321,0.013198912203413321
4902,candida,85,-0.013270753864423385,0.013270753864423385
7186,em,40,0.013304414555771875,0.013304414555771875
1416,tested,675,0.013309974291714242,0.013309974291714242
5576,surprising,66,0.013362843783386454,0.013362843783386454
6473,stem,49,-0.013471134588468263,0.013471134588468263
3148,rushed,193,0.013490402939117815,0.013490402939117815
1483,discovered,633,-0.013561409294459745,0.013561409294459745
7015,wit,42,-0.013584762385107647,0.013584762385107647
2401,stays,304,0.013727341691559097,0.013727341691559097
11227,blot,16,0.01383756489365472,0.01383756489365472
12322,freq,13,-0.014011758322562084,0.014011758322562084
1082,twitching,1033,0.014075883049519199,0.014075883049519199
373,became,4287,-0.014200252542500971,0.014200252542500971
7021,wiping,42,-0.014311878372834033,0.014311878372834033
9331,swap,23,-0.014311878372834033,0.014311878372834033
6744,stabilization,45,-0.014311878372834033,0.014311878372834033
6920,residue,43,-0.014311878372834033,0.014311878372834033
3917,skull,132,-0.014311878372834033,0.014311878372834033
6947,aggravating,43,-0.014311878372834033,0.014311878372834033
4587,staph,97,-0.014311878372834033,0.014311878372834033
208,sure,8427,0.014369008302370069,0.014369008302370069
662,strange,2056,0.014404619062521055,0.014404619062521055
681,type,1987,0.014492043112932994,0.014492043112932994
1414,multiple,676,-0.014498323791477927,0.014498323791477927
54,are,31686,0.014655929783216157,0.014655929783216157
3766,blind,142,-0.014730726546496608,0.014730726546496608
